name,id,region,region_code,city,lat,lon
ABANO TERME,S05700,Veneto,12,A,45.355199,11.811533
ABBADIA LARIANA,S01416,Lombardia,1,A,45.895864,9.335175
ABBASANTA,S12873,Sardegna,20,A,40.128801,8.817733
ABBIATE GUAZZONE,N00018,N/A,N/A,N/A,N/A,N/A
ABBIATEGRASSO,S01062,Lombardia,1,A,45.400631,8.921305
ACATE,S12409,Sicilia,14,A,36.996592,14.42545
ACCIANO,S07423,Abruzzo,19,A,42.175994,13.711345
ACERRA,S09215,Campania,18,A,40.939066,14.372243
ACIREALE,S12328,Sicilia,14,A,37.600514,15.163697
ACQUA ACETOSA,S08715,Lazio,5,A,41.794294,12.616449
ACQUAFREDDA,S11722,Basilicata,15,A,40.035527,15.671846
ACQUAMELA,S09798,N/A,N/A,N/A,N/A,N/A
ACQUANEGRA CREMONESE,S01913,Lombardia,1,A,45.172102,9.888456
ACQUAPPESA,S11736,Calabria,17,A,39.48648,15.955992
ACQUAVIVA,S12209,Sicilia,14,A,37.570258,13.674927
ACQUAVIVA DELLE FONTI,S11504,Puglia,16,A,40.892806,16.839826
ACQUEDOLCI-S.FRATELLO,S12026,Sicilia,14,A,38.058459,14.587597
ACQUI TERME,S00867,Piemonte,3,Acqui,44.67407,8.474482
ACRI BISIGNANO LUZZI,S11907,Calabria,17,A,39.441389,16.245177
ADRIA,S05420,Veneto,12,A,45.06058,12.054228
AFRICO NUOVO,S11872,Calabria,17,A,38.053759,16.144283
AGLIANO CASTELNUOVO CALCEA,S00804,Piemonte,3,A,44.786108,8.267723
AGRIGENTO BASSA,S12213,Sicilia,14,Agrigento Bassa,37.319148,13.588094
AGRIGENTO CENTRALE,S12216,Sicilia,14,Agrigento C.le,37.309051,13.584412
AGROPOLI CASTELLABATE,S11705,Campania,18,A,40.351521,15.002053
AIELLI,S08550,N/A,N/A,N/A,N/A,N/A
AIRASCA,S00514,Piemonte,3,A,44.928093,7.483536
AIROLE,S04481,Liguria,2,A,43.870494,7.552757
AIRUNO,S01515,Lombardia,1,A,45.754086,9.422066
ALA,S02049,N/A,9,A,45.760087,10.996775
ALANNO,S07708,Abruzzo,19,A,42.287185,14.019595
ALANO FENER VALDOBBIADENE,S02566,Veneto,12,A,45.90229,11.944546
ALASSIO,S04515,Liguria,2,A,44.007889,8.17112
ALBA,S00825,Piemonte,3,A,44.697713,8.030629
ALBA ADRIATICA NERETO CONTR.,S07800,Abruzzo,19,A,42.83438,13.91733
ALBACINA,S07207,Marche,11,Albacina,43.345686,12.986501
ALBAIRATE VERMEZZO,S01059,N/A,N/A,N/A,N/A,N/A
